road_width,latitude,longitude,quality,num_bedrooms,num_bathrooms,direction,age,land_area,usage_area,hospital_3km,convenience_store_3km,discount_store_3km,department_store_3km,education_3km,bank_3km,hospital_3km_shortest,convenience_store_3km_shortest,discount_store_3km_shortest,department_store_3km_shortest,education_3km_shortest,bank_3km_shortest,target,index_right
4.0,13.937402,100.355646,พอใช้,4,1,,0,53,148,14,18,2,0,7,1,0.601,0.73,0.806,0.0,0.813,2.242,3800000,0
14.0,13.913395,100.400558,พอใช้,1,1,ทิศเหนือ,24,17,114,60,52,11,0,22,19,0.278,0.326,0.353,0.0,0.814,0.611,1550000,0
4.0,13.85707,100.4961,ดีมาก,3,1,,15,32,255,171,153,10,1,68,74,0.419,0.236,0.891,0.927,0.538,0.84,3500000,0
4.0,13.92336,100.43703,ค่อนข้างแย่,5,4,,11,21,135,32,39,5,0,25,19,0.472,0.135,0.358,0.0,0.666,1.771,1350000,0
4.0,13.80862,100.34031,พอใช้,3,3,,5,57,106,21,48,2,0,39,17,1.004,0.34,2.758,0.0,0.945,1.687,3820000,0
4.0,13.882848,100.37573,ค่อนข้างแย่,1,1,,4,60,106,8,15,4,0,4,0,0.681,0.472,1.271,0.0,1.664,0.0,3550000,0
6.0,13.936442,100.443692,ดี,3,2,ทิศตะวันตกเฉียงเหนือ,19,20,92,7,21,2,0,10,2,1.815,0.874,1.902,0.0,0.79,2.527,1500000,0
4.0,13.918349,100.403258,ดี,1,4,,22,21,128,63,45,10,0,21,19,0.466,0.512,0.553,0.0,0.813,0.664,1550000,0
6.0,13.94533,100.35069,พอใช้,2,4,ทิศตะวันออกเฉียงเหนือ,21,16,120,15,18,2,0,7,1,0.308,0.268,1.422,0.0,1.543,2.178,1470000,0
6.0,13.91944,100.41375,ดี,1,1,ทิศใต้,29,16,90,54,51,10,0,23,19,0.533,0.581,0.542,0.0,0.329,0.663,1000000,0
6.0,13.917246,100.364192,ดีมาก,3,1,ทิศเหนือ,25,16,112,16,17,2,0,7,0,0.555,0.288,1.445,0.0,1.62,0.0,1500000,0
6.0,13.90101,100.36609,แย่,2,4,ทิศใต้,14,18,91,13,16,2,0,2,0,1.54,0.338,1.605,0.0,1.598,0.0,1500000,0
6.0,13.86117,100.40306,ดีมาก,2,2,ทิศตะวันออก,15,17,108,56,56,9,2,18,33,0.56,0.208,0.627,1.963,0.968,0.869,1400000,0
8.0,13.9212,100.387678,แย่,1,3,ทิศตะวันตกเฉียงเหนือ,22,20,132,38,28,8,0,10,5,1.068,0.622,1.074,0.0,0.718,1.089,1500000,0
6.0,13.945621,100.343437,แย่,1,1,ทิศตะวันตกเฉียงเหนือ,23,16,113,11,15,2,0,7,1,0.977,0.969,2.168,0.0,1.398,2.913,1550000,0
4.0,13.971054,100.421039,ดี,5,1,,5,52,163,6,20,6,0,5,3,0.899,0.36,0.795,0.0,0.996,2.322,3450000,0
4.0,13.92779,100.35441,ดี,5,1,,10,30,136,12,17,2,0,5,0,0.667,0.076,1.612,0.0,0.405,0.0,1550000,0
4.0,13.951336,100.338866,พอใช้,5,4,,18,21,129,10,13,3,0,5,0,1.382,1.517,2.41,0.0,1.27,0.0,1250000,0
6.0,13.91598,100.44253,ค่อนข้างแย่,5,3,ทิศใต้,20,23,122,43,40,4,0,27,21,0.833,0.551,0.69,0.0,1.025,0.974,1330000,0
4.0,13.91668,100.501302,ค่อนข้างแย่,3,1,,20,18,72,73,74,6,0,46,29,0.477,0.433,0.681,0.0,0.505,0.624,750000,0
6.0,13.89127,100.43706,ดีมาก,4,2,ทิศเหนือ,27,18,117,67,52,7,0,27,19,0.749,0.285,1.417,0.0,0.434,0.924,1406000,0
